metric_key,metric_label,signal_id,winner,coverage_methods,bessel_iir,bessel_fir,fir_10k,baseline_nn,distillation_nn
mps_corr,MPS Corr,am_attack_1khz,fir_10k,4,0.9999999990613588,0.9989448046878111,0.9999999999784072,,0.9999999990447627
mps_corr,MPS Corr,binaural_cues,fir_10k,4,0.9999410317478795,0.9984755089845807,0.9999999776182329,,0.9999410269294835
mps_corr,MPS Corr,click,fir_10k,4,0.9999999999678698,0.9999651292489414,0.9999999999973505,,0.9999999999502781
mps_corr,MPS Corr,complex_bass,fir_10k,4,0.999999378469226,0.9992180331054561,0.9999999099859326,,0.9999993816490843
mps_corr,MPS Corr,modulated_am_fm,fir_10k,4,0.9999999703279173,0.9990680399758554,0.9999999975098162,,0.9999999697464894
mps_corr,MPS Corr,ms_side_texture,fir_10k,4,0.9996909769136186,0.9979220334157382,0.9999999372536547,,0.9996909156122998
mps_corr,MPS Corr,notched_noise_8khz,fir_10k,4,0.9999368449889708,0.9976904757380547,0.9999999429262308,,0.9999368412685276
mps_corr,MPS Corr,pink_noise,fir_10k,4,0.9999212338170256,0.9978164120975258,0.9999999445559804,,0.9999212288316033
mps_corr,MPS Corr,tfs_multitone,fir_10k,4,0.9989364935789854,0.9975135184858295,0.9999998502080928,,0.998936240667452
mps_corr,MPS Corr,thd_1khz,fir_10k,4,0.9999999999623874,0.9996254511008541,0.9999999999999373,,0.9999999999620062
mps_corr,MPS Corr,tone_burst_8khz,fir_10k,4,0.9999999997817741,0.9999651514845896,0.9999999999973493,,0.999999999764488
mps_dist,MPS Dist,am_attack_1khz,fir_10k,4,2.274623646234417e-07,0.00024118466424884443,3.449953795012416e-08,,2.2946387105535168e-07
mps_dist,MPS Dist,binaural_cues,fir_10k,4,5.6592310867781274e-05,0.00028713403022928477,1.1081460084297302e-06,,5.6594754155677334e-05
mps_dist,MPS Dist,click,fir_10k,4,4.2027830055553823e-08,4.378258523688843e-05,1.2069399336127532e-08,,5.2286365396221746e-08
mps_dist,MPS Dist,complex_bass,fir_10k,4,5.812512314792094e-06,0.00020616546300501393,2.2120135380745333e-06,,5.79762348581578e-06
mps_dist,MPS Dist,modulated_am_fm,fir_10k,4,1.279416973732871e-06,0.0002267465299166426,3.7064134318762044e-07,,1.2918913014363856e-06
mps_dist,MPS Dist,ms_side_texture,fir_10k,4,0.0001292219948568773,0.00033508505737734517,1.8490804718779499e-06,,0.00012923481592547488
mps_dist,MPS Dist,notched_noise_8khz,fir_10k,4,5.82224359364386e-05,0.0003513719850488543,1.7579127699575976e-06,,5.822429848352119e-05
mps_dist,MPS Dist,pink_noise,fir_10k,4,6.507538556669139e-05,0.0003420144958187942,1.7335650712889304e-06,,6.507761887079623e-05
mps_dist,MPS Dist,tfs_multitone,fir_10k,4,0.00024163620342377158,0.0003694731740484021,2.8677171706000253e-06,,0.00024166493420726983
mps_dist,MPS Dist,thd_1khz,fir_10k,4,4.5546678390634086e-08,0.000143731667411798,1.8611159442973377e-09,,4.57767932183961e-08
mps_dist,MPS Dist,tone_burst_8khz,fir_10k,4,1.1099419923674568e-07,4.3768570237059786e-05,1.2072183441015583e-08,,1.1527221023935441e-07
tfs_corr,TFS Corr,am_attack_1khz,fir_10k,4,0.9725898196706891,0.15351465821804874,0.9782128798388907,,0.9549516715733154
tfs_corr,TFS Corr,binaural_cues,fir_10k,4,0.9960033264029027,0.30407915791931206,0.9999709710397576,,0.9959664837743439
tfs_corr,TFS Corr,click,bessel_iir,4,0.99688240204784,0.16129593796243125,0.8952524545955605,,0.8716013673802
tfs_corr,TFS Corr,complex_bass,fir_10k,4,0.9116669509625774,0.17279407940808308,0.9189597627026254,,0.884426259853984
tfs_corr,TFS Corr,modulated_am_fm,fir_10k,4,0.9476081778020341,0.15870655001546477,0.9551279237501292,,0.9359444239333639
tfs_corr,TFS Corr,ms_side_texture,fir_10k,4,0.9938467562960809,0.5974150194850845,0.9999608942575579,,0.9938150266711869
tfs_corr,TFS Corr,notched_noise_8khz,fir_10k,4,0.9961669688816199,0.3052173031921218,0.9999709406624326,,0.996135385689255
tfs_corr,TFS Corr,pink_noise,fir_10k,4,0.9959545472960403,0.3011660199730665,0.9999633887038928,,0.9959177175565741
tfs_corr,TFS Corr,tfs_multitone,fir_10k,4,0.9877336952975918,0.9683710504278662,0.9999628414838484,,0.9876767966079455
tfs_corr,TFS Corr,thd_1khz,bessel_iir,4,0.9576201290400602,0.15486706695137015,0.9576152707159884,,0.939343205070811
tfs_corr,TFS Corr,tone_burst_8khz,bessel_iir,4,0.9922159580391616,0.13074052745894482,0.8081651643126092,,0.8183802962737394
attack_p95_abs_ms,Attack P95 (ms),am_attack_1khz,"tie:distillation_nn,fir_10k",4,0.01133786848072571,1.6099773242630384,0.0,,0.0
attack_p95_abs_ms,Attack P95 (ms),binaural_cues,fir_10k,4,0.5895691609977325,1.312925170068024,0.0,,0.600907029478458
attack_p95_abs_ms,Attack P95 (ms),click,fir_10k,4,0.011337868480725266,2.9365079365079367,0.0,,0.011337868480725266
attack_p95_abs_ms,Attack P95 (ms),complex_bass,fir_10k,4,0.01133786848072571,18.030612244897934,0.0,,0.01133786848072571
attack_p95_abs_ms,Attack P95 (ms),modulated_am_fm,fir_10k,4,0.011337868480726598,21.3718820861678,0.0,,0.011337868480726598
attack_p95_abs_ms,Attack P95 (ms),ms_side_texture,fir_10k,4,0.7596371882086168,1.4512471655328794,0.0,,0.7596371882086168
attack_p95_abs_ms,Attack P95 (ms),notched_noise_8khz,fir_10k,4,1.0045351473922892,1.5759637188208617,0.6122448979591837,,0.9829931972789094
attack_p95_abs_ms,Attack P95 (ms),pink_noise,fir_10k,4,0.9489795918367325,1.5419501133786846,0.691609977324263,,1.0272108843537404
attack_p95_abs_ms,Attack P95 (ms),tfs_multitone,fir_10k,4,0.09070294784580499,0.09070294784580499,0.0,,0.09070294784580499
attack_p95_abs_ms,Attack P95 (ms),thd_1khz,"tie:bessel_fir,bessel_iir,distillation_nn,fir_10k",4,0.0,0.0,0.0,,0.0
attack_p95_abs_ms,Attack P95 (ms),tone_burst_8khz,fir_10k,4,0.011337868480725266,2.9365079365079367,0.0,,0.011337868480725266
bass_cycle_corr,Bass Cycle Corr,am_attack_1khz,"tie:bessel_fir,bessel_iir,distillation_nn,fir_10k",4,0.0,0.0,0.0,,0.0
bass_cycle_corr,Bass Cycle Corr,binaural_cues,fir_10k,4,0.999498801439769,0.030483078110952168,0.9999999999929876,,0.9994987982775241
bass_cycle_corr,Bass Cycle Corr,click,fir_10k,4,0.9995786112311966,0.7264846843460954,0.9999999999954545,,0.9995786604016661
bass_cycle_corr,Bass Cycle Corr,complex_bass,fir_10k,4,0.9996466472748983,0.07682800809415585,0.9999999999936262,,0.9996466446596318
bass_cycle_corr,Bass Cycle Corr,modulated_am_fm,fir_10k,4,0.9996434698867612,0.0921515597516685,0.9999999999906471,,0.9996434530098826
bass_cycle_corr,Bass Cycle Corr,ms_side_texture,fir_10k,4,0.9996385146779294,0.010211174180297251,0.9999999999939657,,0.9996385169538428
bass_cycle_corr,Bass Cycle Corr,notched_noise_8khz,fir_10k,4,0.9997015781788582,-0.015000129005173394,0.9999999998773651,,0.9997015741778927
bass_cycle_corr,Bass Cycle Corr,pink_noise,fir_10k,4,0.9997045796646781,0.009481640460572186,0.9999999999951997,,0.999704583117093
bass_cycle_corr,Bass Cycle Corr,tfs_multitone,fir_10k,4,0.9996068575382345,0.3104793260992766,0.9999999999918044,,0.9996067611189456
bass_cycle_corr,Bass Cycle Corr,thd_1khz,fir_10k,4,0.9996435771560479,0.0970519242193639,0.9999999999859267,,0.9996435855960519
bass_cycle_corr,Bass Cycle Corr,tone_burst_8khz,"tie:bessel_fir,bessel_iir,distillation_nn,fir_10k",4,0.0,0.0,0.0,,0.0
lowband_wave_error_db,Lowband Wave Error (dB),am_attack_1khz,fir_10k,2,,5.027660910626482,-66.58924340330644,,
lowband_wave_error_db,Lowband Wave Error (dB),binaural_cues,fir_10k,2,,3.1608085969103854,-65.63249302781968,,
lowband_wave_error_db,Lowband Wave Error (dB),click,fir_10k,2,,3.99047053816721,-66.4504248826036,,
lowband_wave_error_db,Lowband Wave Error (dB),complex_bass,fir_10k,2,,3.1196641483270144,-79.23718623724744,,
lowband_wave_error_db,Lowband Wave Error (dB),modulated_am_fm,fir_10k,2,,2.6390835554650494,-66.57634642996999,,
lowband_wave_error_db,Lowband Wave Error (dB),ms_side_texture,fir_10k,2,,3.143722471592432,-66.5229764811279,,
lowband_wave_error_db,Lowband Wave Error (dB),notched_noise_8khz,fir_10k,2,,2.9461795036706206,-49.807252685309244,,
lowband_wave_error_db,Lowband Wave Error (dB),pink_noise,fir_10k,2,,2.8741505287539852,-49.95360002620864,,
lowband_wave_error_db,Lowband Wave Error (dB),tfs_multitone,fir_10k,2,,3.072276523723238,-64.18082595160669,,
lowband_wave_error_db,Lowband Wave Error (dB),thd_1khz,fir_10k,2,,5.104107224011761,-66.59141626059775,,
lowband_wave_error_db,Lowband Wave Error (dB),tone_burst_8khz,fir_10k,2,,3.984150824178507,-66.60233878185986,,
lowband_phase_error_deg,Lowband Phase Error (deg),am_attack_1khz,fir_10k,2,,102.86011310886119,7.640808315848817e-05,,
lowband_phase_error_deg,Lowband Phase Error (deg),binaural_cues,fir_10k,2,,90.21259262369456,0.0003886885892642366,,
lowband_phase_error_deg,Lowband Phase Error (deg),click,fir_10k,2,,95.21391983732173,6.874949722750113e-05,,
lowband_phase_error_deg,Lowband Phase Error (deg),complex_bass,fir_10k,2,,94.75261002429431,0.001141021544716129,,
lowband_phase_error_deg,Lowband Phase Error (deg),modulated_am_fm,fir_10k,2,,88.87182806794262,6.879320787802351e-05,,
lowband_phase_error_deg,Lowband Phase Error (deg),ms_side_texture,fir_10k,2,,90.40034271156962,0.00013875258197328875,,
lowband_phase_error_deg,Lowband Phase Error (deg),notched_noise_8khz,fir_10k,2,,90.26150820641446,0.020020885735127503,,
