metric_key,metric_label,better,winner,coverage_methods,bessel_iir,bessel_fir,fir_10k,baseline_nn,distillation_nn
mps_corr,MPS Corr,high,fir_10k,4,0.9998569026015468,0.9987458689386579,0.9999999600028169,,0.9998568730387702
mps_dist,MPS Dist,low,fir_10k,4,5.0751481001126484e-05,0.00023549620205262978,1.0872344190989046e-06,,5.0757157788172816e-05
tfs_corr,TFS Corr,high,bessel_iir,4,0.9771171574305998,0.30983339736470855,0.9557420447330266,,0.9431053303986109
attack_p95_abs_ms,Attack P95 (ms),abs_low,fir_10k,4,0.3136466707895277,4.805297876726446,0.11853226138940424,,0.31880024737167567
bass_cycle_corr,Bass Cycle Corr,high,fir_10k,4,0.817878421549852,0.12165193329610986,0.8181818181651797,,0.817878416119321
lowband_wave_error_db,Lowband Wave Error (dB),low,fir_10k,2,,3.5511158932206075,-64.3767367425143,,
lowband_phase_error_deg,Lowband Phase Error (deg),low,fir_10k,2,,94.65914045533773,0.003063577242837216,,
lowband_group_delay_error_ms,Lowband Group Delay Error (ms),low,fir_10k,2,,56.66281254945379,0.1481745883149613,,
